Hora, Tipo Registro, Mensaje,Robot
2023-09-20 22:25:21.560837, INFO, FIN MODULO ALTA DE PAGOS ,AltaDePago
2023-09-20 22:25:21.583135, INFO, INICIO A CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-20 22:25:24.657458, INFO, FIN CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-20 22:25:24.688722, INFO, Inicio del modulo productos contratados ,ProductosContratados
2023-09-20 22:26:02.666958, INFO, Fin del modulo productos contratados ,ProductosContratados
2023-09-20 22:26:56.893687, INFO, INICIO A CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-20 22:27:01.203010, INFO, FIN CERRAR LAS PESTAÑAS ABIERTAS DEL CLIENTE ,CerrarPestanasCliente
2023-09-20 22:27:01.234240, INFO, INICIO CERRAR LOS CLIENTES ABIERTOS ,CerrarCliente
2023-09-20 22:27:11.133656, INFO, FIN CERRAR LOS CLIENTES ABIERTOS ,CerrarCliente
2023-09-20 22:27:11.164926, INFO, "Inicio del modulo " ,Ultimas_Validaciones
2023-09-20 22:27:11.211781, INFO, "Se pasa la variable de reintentoS a "3+1" Para salir del bucle" ,Ultimas_Validaciones
2023-09-20 22:27:11.243045, INFO, "Fin del modulo " ,Ultimas_Validaciones
2023-09-20 22:27:11.274284, INFO, "Incio del modulo SetTransactionStatus" ,Set_Transaction_Status
2023-09-20 22:27:11.305528, INFO, "Inicio del modulo Chage Status BPM" ,Change_Status_BPM
2023-09-20 22:27:13.133649, INFO, "Fin del modulo Chage Status BPM" ,Change_Status_BPM
2023-09-20 22:27:13.149273, INFO, "Fin del modulo SetTransactionStatus" ,Set_Transaction_Status
2023-09-20 22:27:13.180547, TRACE, Fin del modulo Process ,Process
2023-09-20 22:27:13.991630, TRACE, Inicio del modulo EndProcess ,EndProcess
2023-09-20 22:27:14.022878, TRACE, Inicio del submodulo KillProcess ,KillProcess
2023-09-20 22:27:16.210390, TRACE, Fin del submodulo KillProcess ,KillProcess
2023-09-20 22:27:16.257248, INFO, Inicio del modulo envio de correo ,NotificacionesCorreo
2023-09-20 22:27:16.304129, INFO, "Conecta con el server de gmail" ,NotificacionesCorreo
2023-09-20 22:27:17.416841, INFO, "Valida si es un correo de inicio o de fin" ,NotificacionesCorreo
2023-09-20 22:27:17.462831, ERROR, "Error al intentar enviar el correo de notificación" ,NotificacionesCorreo
2023-09-20 22:27:17.492830, TRACE, Fin del modulo EndProcess ,EndProcess
2023-09-20 22:27:17.522832, TRACE, Finalizacion de Ejecucion, RB_ES_EDSA_003_CambioCuenta

